feature,importance
Coding_Skills,0.2827925367428736
CGPA,0.26034310398876076
Projects,0.1979665182582013
Internships,0.12481063223791279
Communication_Skills,0.07070048997403029
Branch_CSE,0.011332824574347446
Branch_ECE,0.008366323010412575
Degree_B.Tech,0.006697835392056431
Degree_B.Sc,0.006116040294592412
Gender_Female,0.0059957763554714235
Gender_Male,0.005874510861163737
Degree_M.Tech,0.004945880393541073
Degree_M.Sc,0.004203534908270674
Branch_ME,0.004006890182787196
Branch_CE,0.003259413550757112
Branch_EE,0.0025876892748210576
